Language,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
2,116,111,114,97,110,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,103,117,105,100,101,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,105,115,111,112,111,100,97,110,115,0,0,0,0,0,0,0,0,0,0,0
2,97,112,112,111,115,105,116,105,118,101,108,121,0,0,0,0,0,0,0,0
2,115,116,101,101,108,119,111,114,107,115,0,0,0,0,0,0,0,0,0,0
2,105,110,116,101,114,112,114,101,116,97,98,105,108,105,116,105,101,115,0,0
2,99,101,114,118,101,108,97,115,101,115,0,0,0,0,0,0,0,0,0,0
2,98,108,117,101,110,111,115,101,115,0,0,0,0,0,0,0,0,0,0,0
2,105,114,111,110,115,105,100,101,0,0,0,0,0,0,0,0,0,0,0,0
2,104,97,108,102,112,101,110,110,121,119,111,114,116,104,115,0,0,0,0,0
2,97,110,116,105,109,101,114,103,101,114,0,0,0,0,0,0,0,0,0,0
2,98,101,109,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,98,108,105,109,98,105,110,103,115,0,0,0,0,0,0,0,0,0,0,0
2,115,107,101,108,112,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,105,110,116,101,114,119,111,118,101,0,0,0,0,0,0,0,0,0,0,0
2,117,110,105,115,111,110,111,117,115,0,0,0,0,0,0,0,0,0,0,0
2,117,110,97,112,111,108,111,103,101,116,105,99,0,0,0,0,0,0,0,0
2,100,101,99,111,108,111,114,97,116,101,115,0,0,0,0,0,0,0,0,0
2,104,111,114,109,111,110,101,115,0,0,0,0,0,0,0,0,0,0,0,0
2,112,97,105,110,115,116,97,107,105,110,103,108,121,0,0,0,0,0,0,0
2,97,108,109,97,110,100,105,110,101,0,0,0,0,0,0,0,0,0,0,0
2,112,117,112,112,105,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,110,100,111,115,107,101,108,101,116,111,110,115,0,0,0,0,0,0,0
2,100,105,115,97,112,112,114,111,98,97,116,105,118,101,0,0,0,0,0,0
2,99,97,114,111,117,115,101,115,0,0,0,0,0,0,0,0,0,0,0,0
2,109,101,103,97,104,105,116,115,0,0,0,0,0,0,0,0,0,0,0,0
2,107,105,110,103,98,105,114,100,115,0,0,0,0,0,0,0,0,0,0,0
2,97,114,99,104,101,103,111,110,105,117,109,0,0,0,0,0,0,0,0,0
2,115,97,98,97,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97,108,99,111,111,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,101,114,105,115,104,105,110,103,108,121,0,0,0,0,0,0,0,0,0
2,103,114,105,110,110,105,110,103,0,0,0,0,0,0,0,0,0,0,0,0
2,115,112,111,114,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,109,97,109,109,111,103,101,110,105,99,0,0,0,0,0,0,0,0,0,0
2,112,105,116,99,104,98,101,110,100,0,0,0,0,0,0,0,0,0,0,0
2,112,97,114,114,105,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99,97,116,101,103,111,114,105,115,97,116,105,111,110,115,0,0,0,0,0
2,109,105,115,99,111,110,100,117,99,116,0,0,0,0,0,0,0,0,0,0
2,115,105,115,116,101,114,105,110,103,0,0,0,0,0,0,0,0,0,0,0
2,112,114,101,105,110,118,105,116,101,100,0,0,0,0,0,0,0,0,0,0
2,98,117,115,116,105,110,103,115,0,0,0,0,0,0,0,0,0,0,0,0
2,109,101,116,104,111,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,109,111,110,111,108,105,110,103,117,97,108,105,115,109,0,0,0,0,0,0
2,114,101,118,101,114,105,115,116,115,0,0,0,0,0,0,0,0,0,0,0
2,109,101,108,105,111,114,105,115,109,115,0,0,0,0,0,0,0,0,0,0
2,103,114,105,122,122,108,101,0,0,0,0,0,0,0,0,0,0,0,0,0
2,102,105,101,115,116,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97,116,111,109,105,99,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,97,114,118,111,108,105,110,101,0,0,0,0,0,0,0,0,0,0,0
2,115,116,114,111,110,103,104,111,108,100,115,0,0,0,0,0,0,0,0,0
2,111,114,105,99,104,97,108,99,115,0,0,0,0,0,0,0,0,0,0,0
2,109,105,115,100,101,109,101,97,110,111,114,115,0,0,0,0,0,0,0,0
2,119,97,110,116,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,109,97,114,111,113,117,105,110,0,0,0,0,0,0,0,0,0,0,0,0
2,115,117,99,99,101,115,115,102,117,108,0,0,0,0,0,0,0,0,0,0
2,110,105,109,98,108,101,115,115,101,115,0,0,0,0,0,0,0,0,0,0
2,102,108,111,114,101,116,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,113,117,97,116,105,110,103,0,0,0,0,0,0,0,0,0,0,0,0
2,99,97,114,111,109,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,105,118,111,114,105,115,116,115,0,0,0,0,0,0,0,0,0,0,0,0
2,110,111,110,121,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,114,101,101,120,97,109,105,110,105,110,103,0,0,0,0,0,0,0,0,0
2,112,97,112,105,108,108,97,114,0,0,0,0,0,0,0,0,0,0,0,0
2,100,101,99,97,115,117,97,108,105,122,97,116,105,111,110,0,0,0,0,0
2,116,114,111,119,115,101,114,115,0,0,0,0,0,0,0,0,0,0,0,0
2,104,121,112,111,99,121,99,108,111,105,100,115,0,0,0,0,0,0,0,0
2,109,105,115,114,97,105,115,105,110,103,0,0,0,0,0,0,0,0,0,0
2,117,109,98,101,108,108,117,108,101,115,0,0,0,0,0,0,0,0,0,0
2,108,111,118,101,115,105,99,107,110,101,115,115,0,0,0,0,0,0,0,0
2,115,101,114,118,97,110,116,104,111,111,100,115,0,0,0,0,0,0,0,0
2,112,101,114,105,112,101,116,105,97,0,0,0,0,0,0,0,0,0,0,0
2,115,117,98,115,105,100,105,97,114,105,110,101,115,115,0,0,0,0,0,0
2,104,97,117,115,115,109,97,110,110,105,122,101,0,0,0,0,0,0,0,0
2,98,101,97,114,100,105,101,114,0,0,0,0,0,0,0,0,0,0,0,0
2,99,97,110,99,101,114,97,116,105,111,110,0,0,0,0,0,0,0,0,0
2,109,97,108,97,99,111,112,104,105,108,105,101,115,0,0,0,0,0,0,0
2,109,105,115,117,110,105,111,110,115,0,0,0,0,0,0,0,0,0,0,0
2,108,101,97,115,111,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,101,98,97,116,101,114,0,0,0,0,0,0,0,0,0,0,0,0,0
2,107,101,110,111,103,101,110,101,116,105,99,97,108,108,121,0,0,0,0,0
2,115,117,114,112,114,105,122,105,110,103,0,0,0,0,0,0,0,0,0,0
2,99,117,112,111,108,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,109,105,99,114,111,112,105,112,101,116,116,101,0,0,0,0,0,0,0,0
2,99,97,117,115,97,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,120,99,117,115,97,108,115,0,0,0,0,0,0,0,0,0,0,0,0
2,109,97,100,114,111,110,97,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111,112,112,105,108,97,116,105,111,110,115,0,0,0,0,0,0,0,0,0
2,102,111,117,114,115,111,109,101,0,0,0,0,0,0,0,0,0,0,0,0
2,112,111,111,103,121,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,105,110,102,108,101,120,105,111,110,97,108,108,121,0,0,0,0,0,0,0
2,100,105,115,104,111,109,101,100,0,0,0,0,0,0,0,0,0,0,0,0
2,100,105,112,108,111,98,108,97,115,116,105,99,0,0,0,0,0,0,0,0
2,102,111,115,115,105,108,105,115,101,100,0,0,0,0,0,0,0,0,0,0
2,112,108,97,121,98,111,111,107,0,0,0,0,0,0,0,0,0,0,0,0
2,111,117,116,102,97,119,110,105,110,103,0,0,0,0,0,0,0,0,0,0
2,99,108,111,100,112,111,108,101,115,0,0,0,0,0,0,0,0,0,0,0
2,105,110,118,101,105,103,108,105,110,103,0,0,0,0,0,0,0,0,0,0
2,97,101,114,111,98,111,116,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97,112,112,111,105,110,116,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99,101,114,111,109,97,110,99,121,0,0,0,0,0,0,0,0,0,0,0
2,105,110,115,116,97,108,109,101,110,116,0,0,0,0,0,0,0,0,0,0
2,98,108,117,101,98,114,101,97,115,116,115,0,0,0,0,0,0,0,0,0
2,110,97,112,111,111,105,110,103,0,0,0,0,0,0,0,0,0,0,0,0
2,101,99,122,101,109,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,104,121,103,114,111,115,99,111,112,101,115,0,0,0,0,0,0,0,0,0
2,111,118,101,114,104,101,97,100,115,0,0,0,0,0,0,0,0,0,0,0
2,97,108,117,100,101,108,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111,112,101,114,97,116,105,99,0,0,0,0,0,0,0,0,0,0,0,0
2,98,101,110,101,100,105,99,116,115,0,0,0,0,0,0,0,0,0,0,0
2,114,117,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,114,101,105,110,118,97,115,105,111,110,0,0,0,0,0,0,0,0,0
2,102,117,115,116,105,108,121,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97,99,101,116,121,108,115,97,108,105,99,121,108,97,116,101,115,0,0,0
2,108,97,105,99,105,122,101,0,0,0,0,0,0,0,0,0,0,0,0,0
2,102,101,110,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,114,101,99,114,101,97,116,105,111,110,105,115,116,0,0,0,0,0,0,0
2,98,101,115,97,110,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,97,117,103,104,116,105,101,114,0,0,0,0,0,0,0,0,0,0,0
2,97,118,105,97,114,105,101,115,0,0,0,0,0,0,0,0,0,0,0,0
2,110,101,116,116,105,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,101,116,105,99,107,105,110,103,0,0,0,0,0,0,0,0,0,0,0
2,113,117,97,110,116,105,102,105,99,97,116,105,111,110,115,0,0,0,0,0
2,119,97,114,98,108,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99,97,117,100,108,105,110,103,0,0,0,0,0,0,0,0,0,0,0,0
2,99,111,109,112,97,99,116,101,100,0,0,0,0,0,0,0,0,0,0,0
2,115,117,115,112,101,110,115,105,118,101,110,101,115,115,0,0,0,0,0,0
2,115,112,117,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,116,97,98,111,117,108,101,104,0,0,0,0,0,0,0,0,0,0,0,0
2,99,97,103,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,97,108,117,100,111,117,115,0,0,0,0,0,0,0,0,0,0,0,0
2,112,104,101,110,97,122,105,110,101,115,0,0,0,0,0,0,0,0,0,0
2,116,101,101,116,104,105,110,103,0,0,0,0,0,0,0,0,0,0,0,0
2,115,101,100,117,99,101,114,0,0,0,0,0,0,0,0,0,0,0,0,0
2,117,112,115,104,111,111,116,0,0,0,0,0,0,0,0,0,0,0,0,0
2,122,97,99,107,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,117,110,97,116,97,107,101,114,0,0,0,0,0,0,0,0,0,0,0
2,104,101,121,100,97,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99,101,122,118,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,108,101,99,116,114,111,109,121,111,103,114,97,112,104,105,101,115,0,0
2,112,101,116,117,110,105,97,115,0,0,0,0,0,0,0,0,0,0,0,0
2,101,109,112,101,114,105,122,101,0,0,0,0,0,0,0,0,0,0,0,0
2,114,101,102,114,97,99,116,105,108,101,0,0,0,0,0,0,0,0,0,0
2,99,111,109,102,114,101,121,115,0,0,0,0,0,0,0,0,0,0,0,0
2,101,120,116,111,114,115,105,118,101,0,0,0,0,0,0,0,0,0,0,0
2,115,105,112,117,110,99,117,108,111,105,100,115,0,0,0,0,0,0,0,0
2,115,104,105,118,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,102,108,97,110,99,104,105,110,103,0,0,0,0,0,0,0,0,0,0,0
2,98,108,97,115,116,111,115,112,111,114,101,115,0,0,0,0,0,0,0,0
2,97,115,116,104,109,97,116,105,99,115,0,0,0,0,0,0,0,0,0,0
2,109,121,99,101,108,108,97,115,0,0,0,0,0,0,0,0,0,0,0,0
2,121,101,108,112,105,110,103,115,0,0,0,0,0,0,0,0,0,0,0,0
2,97,116,116,97,105,110,101,114,0,0,0,0,0,0,0,0,0,0,0,0
2,114,101,97,117,116,104,111,114,105,115,101,0,0,0,0,0,0,0,0,0
2,97,117,116,117,110,105,116,101,0,0,0,0,0,0,0,0,0,0,0,0
2,117,110,98,101,115,101,101,109,115,0,0,0,0,0,0,0,0,0,0,0
2,97,114,116,104,114,101,99,116,111,109,121,0,0,0,0,0,0,0,0,0
2,116,104,114,111,110,103,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,107,97,114,121,111,108,121,109,112,104,115,0,0,0,0,0,0,0,0,0
2,115,105,109,117,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99,111,100,103,101,114,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,117,110,109,101,100,105,97,116,101,100,0,0,0,0,0,0,0,0,0,0
2,112,108,97,105,110,116,108,101,115,115,0,0,0,0,0,0,0,0,0,0
2,116,97,98,108,101,109,97,116,101,0,0,0,0,0,0,0,0,0,0,0
2,97,114,113,117,101,98,117,115,101,115,0,0,0,0,0,0,0,0,0,0
2,109,97,103,110,97,108,105,117,109,0,0,0,0,0,0,0,0,0,0,0
2,101,102,102,97,98,108,101,0,0,0,0,0,0,0,0,0,0,0,0,0
2,109,97,110,105,107,105,110,115,0,0,0,0,0,0,0,0,0,0,0,0
2,116,114,97,110,115,102,111,114,109,105,115,116,105,99,0,0,0,0,0,0
2,97,112,114,105,99,97,116,101,115,0,0,0,0,0,0,0,0,0,0,0
2,117,110,98,114,97,105,100,105,110,103,0,0,0,0,0,0,0,0,0,0
2,119,101,97,114,105,102,117,108,110,101,115,115,0,0,0,0,0,0,0,0
2,98,114,105,101,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,98,105,112,97,114,116,105,116,101,0,0,0,0,0,0,0,0,0,0,0
2,102,111,114,101,99,108,111,115,101,115,0,0,0,0,0,0,0,0,0,0
2,104,111,109,111,116,114,97,110,115,112,108,97,110,116,97,116,105,111,110,0
2,111,120,121,109,101,108,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,109,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,108,111,103,105,111,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,105,99,116,117,114,101,115,0,0,0,0,0,0,0,0,0,0,0,0
2,99,104,101,114,105,109,111,121,97,0,0,0,0,0,0,0,0,0,0,0
2,106,97,109,112,111,116,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,114,101,99,111,110,100,105,116,105,111,110,101,100,0,0,0,0,0,0
2,107,97,119,97,110,97,116,97,110,103,97,115,0,0,0,0,0,0,0,0
2,99,97,115,99,97,114,105,108,108,97,0,0,0,0,0,0,0,0,0,0
2,107,97,110,103,104,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,116,104,105,115,97,119,97,121,0,0,0,0,0,0,0,0,0,0,0,0
2,122,111,111,99,101,112,104,97,108,105,99,0,0,0,0,0,0,0,0,0
2,115,112,111,116,116,97,98,108,101,0,0,0,0,0,0,0,0,0,0,0
2,101,100,117,99,97,116,97,98,105,108,105,116,105,101,115,0,0,0,0,0
2,109,97,114,115,104,105,110,101,115,115,0,0,0,0,0,0,0,0,0,0
2,116,114,105,111,108,101,105,110,115,0,0,0,0,0,0,0,0,0,0,0
2,108,97,110,110,101,114,101,116,0,0,0,0,0,0,0,0,0,0,0,0
2,118,105,116,114,105,110,101,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115,116,114,111,98,111,115,99,111,112,101,115,0,0,0,0,0,0,0,0
2,115,97,118,118,101,121,105,110,103,0,0,0,0,0,0,0,0,0,0,0
2,122,111,111,116,115,117,105,116,101,114,115,0,0,0,0,0,0,0,0,0
2,101,112,105,103,111,110,105,0,0,0,0,0,0,0,0,0,0,0,0,0
2,98,101,113,117,101,97,116,104,101,114,0,0,0,0,0,0,0,0,0,0
2,103,108,111,98,101,116,114,111,116,116,105,110,103,115,0,0,0,0,0,0
2,102,111,114,109,117,108,97,114,105,115,105,110,103,0,0,0,0,0,0,0
2,110,101,111,111,114,116,104,111,100,111,120,0,0,0,0,0,0,0,0,0
2,114,101,119,105,110,100,101,114,115,0,0,0,0,0,0,0,0,0,0,0
2,104,111,109,101,115,99,114,101,101,116,99,104,0,0,0,0,0,0,0,0
2,100,105,115,99,111,114,100,97,110,99,101,115,0,0,0,0,0,0,0,0
2,103,108,111,105,114,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115,117,110,114,97,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115,105,109,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,101,97,102,101,110,101,100,0,0,0,0,0,0,0,0,0,0,0,0
2,112,111,112,97,100,117,109,0,0,0,0,0,0,0,0,0,0,0,0,0
2,109,111,110,111,103,121,110,105,101,115,0,0,0,0,0,0,0,0,0,0
2,118,97,114,105,111,108,105,122,97,116,105,111,110,0,0,0,0,0,0,0
2,114,101,108,111,97,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,108,97,105,114,105,101,115,116,0,0,0,0,0,0,0,0,0,0,0,0
2,98,101,115,116,111,114,109,105,110,103,0,0,0,0,0,0,0,0,0,0
2,101,99,104,105,110,97,116,101,100,0,0,0,0,0,0,0,0,0,0,0
2,116,97,114,98,111,117,115,104,0,0,0,0,0,0,0,0,0,0,0,0
2,104,101,97,116,101,100,110,101,115,115,0,0,0,0,0,0,0,0,0,0
2,97,110,116,105,98,111,117,114,103,101,111,105,115,0,0,0,0,0,0,0
2,99,111,110,100,101,109,110,97,98,108,121,0,0,0,0,0,0,0,0,0
2,112,111,117,116,104,101,114,105,110,103,0,0,0,0,0,0,0,0,0,0
2,114,101,119,101,100,100,105,110,103,0,0,0,0,0,0,0,0,0,0,0
2,110,101,101,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,113,117,105,108,105,98,114,97,116,111,114,121,0,0,0,0,0,0,0
2,100,114,111,112,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
