Word,Language,Input,Expected Result,Result,Match
Direktangriffs,German,"(68, 105, 114, 101, 107, 116, 97, 110, 103, 114, 105, 102, 102, 115, 0, 0, 0, 0, 0, 0)",4,4,True
apartábamos,Spanish,"(97, 112, 97, 114, 116, 225, 98, 97, 109, 111, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
嫮偔,Japanese,"(23278, 20564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
casé,French,"(99, 97, 115, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
hinunterstieß,German,"(104, 105, 110, 117, 110, 116, 101, 114, 115, 116, 105, 101, 223, 0, 0, 0, 0, 0, 0, 0)",4,2,False
generarías,Spanish,"(103, 101, 110, 101, 114, 97, 114, 237, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
zurückgedrängter,German,"(122, 117, 114, 252, 99, 107, 103, 101, 100, 114, 228, 110, 103, 116, 101, 114, 0, 0, 0, 0)",4,4,True
breathiness,English,"(98, 114, 101, 97, 116, 104, 105, 110, 101, 115, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
scissure,English,"(115, 99, 105, 115, 115, 117, 114, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,3,False
cremabais,Spanish,"(99, 114, 101, 109, 97, 98, 97, 105, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
evoquen,Spanish,"(101, 118, 111, 113, 117, 101, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,3,False
Kundenzuläufe,German,"(75, 117, 110, 100, 101, 110, 122, 117, 108, 228, 117, 102, 101, 0, 0, 0, 0, 0, 0, 0)",4,4,True
gerauchter,German,"(103, 101, 114, 97, 117, 99, 104, 116, 101, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
尒偊傞,Japanese,"(23570, 20554, 20638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
bleachers,English,"(98, 108, 101, 97, 99, 104, 101, 114, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
inductance,French,"(105, 110, 100, 117, 99, 116, 97, 110, 99, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,1,False
抁強,Japanese,"(25217, 24375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
haymakings,English,"(104, 97, 121, 109, 97, 107, 105, 110, 103, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
vestidos,Spanish,"(118, 101, 115, 116, 105, 100, 111, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,3,False
costumasse,French,"(99, 111, 115, 116, 117, 109, 97, 115, 115, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
sommerions,French,"(115, 111, 109, 109, 101, 114, 105, 111, 110, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
envilecimos,Spanish,"(101, 110, 118, 105, 108, 101, 99, 105, 109, 111, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
Myanmars,German,"(77, 121, 97, 110, 109, 97, 114, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
subbasal,English,"(115, 117, 98, 98, 97, 115, 97, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,3,False
chromospheric,English,"(99, 104, 114, 111, 109, 111, 115, 112, 104, 101, 114, 105, 99, 0, 0, 0, 0, 0, 0, 0)",2,2,True
Lottospiels,German,"(76, 111, 116, 116, 111, 115, 112, 105, 101, 108, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,2,False
怓崌偄,Japanese,"(24595, 23820, 20548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
vidâmes,French,"(118, 105, 100, 226, 109, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
ordeñaron,Spanish,"(111, 114, 100, 101, 241, 97, 114, 111, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
penosas,Spanish,"(112, 101, 110, 111, 115, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,2,False
singularisa,French,"(115, 105, 110, 103, 117, 108, 97, 114, 105, 115, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,1,False
capotiez,French,"(99, 97, 112, 111, 116, 105, 101, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
rebajábamos,Spanish,"(114, 101, 98, 97, 106, 225, 98, 97, 109, 111, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
sleepovers,English,"(115, 108, 101, 101, 112, 111, 118, 101, 114, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
changer,English,"(99, 104, 97, 110, 103, 101, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
contrabalanceáramos,Spanish,"(99, 111, 110, 116, 114, 97, 98, 97, 108, 97, 110, 99, 101, 225, 114, 97, 109, 111, 115, 0)",1,1,True
martille,Spanish,"(109, 97, 114, 116, 105, 108, 108, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,2,False
庤巒傔,Japanese,"(24228, 24018, 20628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
reconfortarán,Spanish,"(114, 101, 99, 111, 110, 102, 111, 114, 116, 97, 114, 225, 110, 0, 0, 0, 0, 0, 0, 0)",1,1,True
asininely,English,"(97, 115, 105, 110, 105, 110, 101, 108, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
éboulerons,French,"(233, 98, 111, 117, 108, 101, 114, 111, 110, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
Modellzeichnern,German,"(77, 111, 100, 101, 108, 108, 122, 101, 105, 99, 104, 110, 101, 114, 110, 0, 0, 0, 0, 0)",4,4,True
martín,Spanish,"(109, 97, 114, 116, 237, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
critiquaient,French,"(99, 114, 105, 116, 105, 113, 117, 97, 105, 101, 110, 116, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
sistematizabas,Spanish,"(115, 105, 115, 116, 101, 109, 97, 116, 105, 122, 97, 98, 97, 115, 0, 0, 0, 0, 0, 0)",1,1,True
Ausbruchshöhen,German,"(65, 117, 115, 98, 114, 117, 99, 104, 115, 104, 246, 104, 101, 110, 0, 0, 0, 0, 0, 0)",4,4,True
égorgeas,French,"(233, 103, 111, 114, 103, 101, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
parlement,French,"(112, 97, 114, 108, 101, 109, 101, 110, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
Spaltungsversuche,German,"(83, 112, 97, 108, 116, 117, 110, 103, 115, 118, 101, 114, 115, 117, 99, 104, 101, 0, 0, 0)",4,4,True
嵦傜傟偨,Japanese,"(23910, 20636, 20639, 20584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
chironomid,English,"(99, 104, 105, 114, 111, 110, 111, 109, 105, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
偓偭偟傝,Japanese,"(20563, 20589, 20575, 20637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
repuliendo,Spanish,"(114, 101, 112, 117, 108, 105, 101, 110, 100, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
Durchschwindelns,German,"(68, 117, 114, 99, 104, 115, 99, 104, 119, 105, 110, 100, 101, 108, 110, 115, 0, 0, 0, 0)",4,4,True
macerará,Spanish,"(109, 97, 99, 101, 114, 97, 114, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
thermaux,French,"(116, 104, 101, 114, 109, 97, 117, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
姰慡偵,Japanese,"(23024, 24929, 20597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
endettons,French,"(101, 110, 100, 101, 116, 116, 111, 110, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
expédiâtes,French,"(101, 120, 112, 233, 100, 105, 226, 116, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
racolait,French,"(114, 97, 99, 111, 108, 97, 105, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
forçassent,French,"(102, 111, 114, 231, 97, 115, 115, 101, 110, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
偆偐偑偆,Japanese,"(20550, 20560, 20561, 20550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,2,False
Käseerzeugungen,German,"(75, 228, 115, 101, 101, 114, 122, 101, 117, 103, 117, 110, 103, 101, 110, 0, 0, 0, 0, 0)",4,4,True
彍奜偡傞,Japanese,"(24397, 22876, 20577, 20638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
怈偒庢傞,Japanese,"(24584, 20562, 24226, 20638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
reloaders,English,"(114, 101, 108, 111, 97, 100, 101, 114, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,3,False
popularisions,French,"(112, 111, 112, 117, 108, 97, 114, 105, 115, 105, 111, 110, 115, 0, 0, 0, 0, 0, 0, 0)",3,2,False
攇偩偭偰偄傞,Japanese,"(25863, 20585, 20589, 20592, 20548, 20638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
dantesco,Spanish,"(100, 97, 110, 116, 101, 115, 99, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
Arztraumes,German,"(65, 114, 122, 116, 114, 97, 117, 109, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
epiblems,English,"(101, 112, 105, 98, 108, 101, 109, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
unbeing,English,"(117, 110, 98, 101, 105, 110, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
shamas,English,"(115, 104, 97, 109, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
délectas,French,"(100, 233, 108, 101, 99, 116, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
colletasse,French,"(99, 111, 108, 108, 101, 116, 97, 115, 115, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
摢,Japanese,"(25698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
堦斒巗柉,Japanese,"(22566, 26002, 24023, 26569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
愨偊偨,Japanese,"(24872, 20554, 20584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
magnifierai,French,"(109, 97, 103, 110, 105, 102, 105, 101, 114, 97, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
expoliemos,Spanish,"(101, 120, 112, 111, 108, 105, 101, 109, 111, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,2,False
predefines,English,"(112, 114, 101, 100, 101, 102, 105, 110, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,3,False
廻場,Japanese,"(24315, 22580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,4,False
Verdummens,German,"(86, 101, 114, 100, 117, 109, 109, 101, 110, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
rapers,English,"(114, 97, 112, 101, 114, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
palpitante,French,"(112, 97, 108, 112, 105, 116, 97, 110, 116, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
偩偄傇,Japanese,"(20585, 20548, 20615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
crâné,French,"(99, 114, 226, 110, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,1,False
lysins,English,"(108, 121, 115, 105, 110, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
崲偭偨,Japanese,"(23858, 20589, 20584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
暈憰,Japanese,"(26248, 25008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
leader,English,"(108, 101, 97, 100, 101, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
temporisais,French,"(116, 101, 109, 112, 111, 114, 105, 115, 97, 105, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
verbigerated,English,"(118, 101, 114, 98, 105, 103, 101, 114, 97, 116, 101, 100, 0, 0, 0, 0, 0, 0, 0, 0)",2,4,False
petulances,English,"(112, 101, 116, 117, 108, 97, 110, 99, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
escozcas,Spanish,"(101, 115, 99, 111, 122, 99, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
enredado,Spanish,"(101, 110, 114, 101, 100, 97, 100, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
desapodero,Spanish,"(100, 101, 115, 97, 112, 111, 100, 101, 114, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
corrompis,French,"(99, 111, 114, 114, 111, 109, 112, 105, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
empressement,French,"(101, 109, 112, 114, 101, 115, 115, 101, 109, 101, 110, 116, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
彑偮,Japanese,"(24401, 20590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
wegbereitend,German,"(119, 101, 103, 98, 101, 114, 101, 105, 116, 101, 110, 100, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
garrottera,French,"(103, 97, 114, 114, 111, 116, 116, 101, 114, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,1,False
trilogías,Spanish,"(116, 114, 105, 108, 111, 103, 237, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
sourly,English,"(115, 111, 117, 114, 108, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
擻椡,Japanese,"(25851, 26913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
complémentaire,French,"(99, 111, 109, 112, 108, 233, 109, 101, 110, 116, 97, 105, 114, 101, 0, 0, 0, 0, 0, 0)",3,2,False
aliénai,French,"(97, 108, 105, 233, 110, 97, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
偁傜傢偵側偭偨,Japanese,"(20545, 20636, 20642, 20597, 20596, 20589, 20584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
峛崅偄,Japanese,"(23771, 23813, 20548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
loamos,Spanish,"(108, 111, 97, 109, 111, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,2,False
échangea,French,"(233, 99, 104, 97, 110, 103, 101, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
Kaiserschimmels,German,"(75, 97, 105, 115, 101, 114, 115, 99, 104, 105, 109, 109, 101, 108, 115, 0, 0, 0, 0, 0)",4,4,True
minettes,English,"(109, 105, 110, 101, 116, 116, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
articuliez,French,"(97, 114, 116, 105, 99, 117, 108, 105, 101, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
gravímetros,Spanish,"(103, 114, 97, 118, 237, 109, 101, 116, 114, 111, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
岥榑偵側傞,Japanese,"(23717, 27025, 20597, 20596, 20638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
sorages,English,"(115, 111, 114, 97, 103, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
moorhen,English,"(109, 111, 111, 114, 104, 101, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
堦斒揑偵,Japanese,"(22566, 26002, 25553, 20597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
enumerar,Spanish,"(101, 110, 117, 109, 101, 114, 97, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,3,False
ameutas,French,"(97, 109, 101, 117, 116, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
apacentaste,Spanish,"(97, 112, 97, 99, 101, 110, 116, 97, 115, 116, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,3,False
堷偒崌偄偵偡傞,Japanese,"(22583, 20562, 23820, 20548, 20597, 20577, 20638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
psychiatriques,French,"(112, 115, 121, 99, 104, 105, 97, 116, 114, 105, 113, 117, 101, 115, 0, 0, 0, 0, 0, 0)",3,3,True
yuch,English,"(121, 117, 99, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
Ackerbauschädlinge,German,"(65, 99, 107, 101, 114, 98, 97, 117, 115, 99, 104, 228, 100, 108, 105, 110, 103, 101, 0, 0)",4,4,True
mastiquassions,French,"(109, 97, 115, 116, 105, 113, 117, 97, 115, 115, 105, 111, 110, 115, 0, 0, 0, 0, 0, 0)",3,3,True
restregado,Spanish,"(114, 101, 115, 116, 114, 101, 103, 97, 100, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
demócratamente,Spanish,"(100, 101, 109, 243, 99, 114, 97, 116, 97, 109, 101, 110, 116, 101, 0, 0, 0, 0, 0, 0)",1,1,True
creosotes,English,"(99, 114, 101, 111, 115, 111, 116, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
quillwort,English,"(113, 117, 105, 108, 108, 119, 111, 114, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
adeudas,Spanish,"(97, 100, 101, 117, 100, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
acrobats,English,"(97, 99, 114, 111, 98, 97, 116, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
Weintraubenkern,German,"(87, 101, 105, 110, 116, 114, 97, 117, 98, 101, 110, 107, 101, 114, 110, 0, 0, 0, 0, 0)",4,4,True
堦斒恖,Japanese,"(22566, 26002, 24662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
solemnizing,English,"(115, 111, 108, 101, 109, 110, 105, 122, 105, 110, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
恎暘,Japanese,"(24654, 26264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
憤摑,Japanese,"(24996, 25681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
perpétuations,French,"(112, 101, 114, 112, 233, 116, 117, 97, 116, 105, 111, 110, 115, 0, 0, 0, 0, 0, 0, 0)",3,3,True
beadlehood,English,"(98, 101, 97, 100, 108, 101, 104, 111, 111, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,1,False
risquée,French,"(114, 105, 115, 113, 117, 233, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
musitaríais,Spanish,"(109, 117, 115, 105, 116, 97, 114, 237, 97, 105, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
reavivad,Spanish,"(114, 101, 97, 118, 105, 118, 97, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
rewelds,English,"(114, 101, 119, 101, 108, 100, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
amadrinarais,Spanish,"(97, 109, 97, 100, 114, 105, 110, 97, 114, 97, 105, 115, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
Begriffsvokabulars,German,"(66, 101, 103, 114, 105, 102, 102, 115, 118, 111, 107, 97, 98, 117, 108, 97, 114, 115, 0, 0)",4,4,True
windflaw,English,"(119, 105, 110, 100, 102, 108, 97, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
庡梫恖暔,Japanese,"(24225, 26795, 24662, 26260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
corruptas,Spanish,"(99, 111, 114, 114, 117, 112, 116, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,3,False
arc-boutant,French,"(97, 114, 99, 45, 98, 111, 117, 116, 97, 110, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
Askanierin,German,"(65, 115, 107, 97, 110, 105, 101, 114, 105, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
upcourt,English,"(117, 112, 99, 111, 117, 114, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
rouilles,French,"(114, 111, 117, 105, 108, 108, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
庘偟偄,Japanese,"(24216, 20575, 20548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
Heizkanalsysteme,German,"(72, 101, 105, 122, 107, 97, 110, 97, 108, 115, 121, 115, 116, 101, 109, 101, 0, 0, 0, 0)",4,4,True
coerció,Spanish,"(99, 111, 101, 114, 99, 105, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
celestials,English,"(99, 101, 108, 101, 115, 116, 105, 97, 108, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
Apfelstielen,German,"(65, 112, 102, 101, 108, 115, 116, 105, 101, 108, 101, 110, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
nonsubjects,English,"(110, 111, 110, 115, 117, 98, 106, 101, 99, 116, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
Absorptionswert,German,"(65, 98, 115, 111, 114, 112, 116, 105, 111, 110, 115, 119, 101, 114, 116, 0, 0, 0, 0, 0)",4,4,True
Kasusrektion,German,"(75, 97, 115, 117, 115, 114, 101, 107, 116, 105, 111, 110, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
axera,French,"(97, 120, 101, 114, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
sourcillez,French,"(115, 111, 117, 114, 99, 105, 108, 108, 101, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
abtippend,German,"(97, 98, 116, 105, 112, 112, 101, 110, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,2,False
raquai,French,"(114, 97, 113, 117, 97, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
emularía,Spanish,"(101, 109, 117, 108, 97, 114, 237, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,1,True
