Word,Language,Len,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
regenerativas,1,13,114,101,103,101,110,101,114,97,116,105,118,97,115,0,0,0,0,0,0,0
posfecharemos,1,13,112,111,115,102,101,99,104,97,114,101,109,111,115,0,0,0,0,0,0,0
desorganizabais,1,15,100,101,115,111,114,103,97,110,105,122,97,98,97,105,115,0,0,0,0,0
suicídense,1,10,115,117,105,99,237,100,101,110,115,101,0,0,0,0,0,0,0,0,0,0
engastarás,1,10,101,110,103,97,115,116,97,114,225,115,0,0,0,0,0,0,0,0,0,0
aulláis,1,7,97,117,108,108,225,105,115,0,0,0,0,0,0,0,0,0,0,0,0,0
acotados,1,8,97,99,111,116,97,100,111,115,0,0,0,0,0,0,0,0,0,0,0,0
trabajosos,1,10,116,114,97,98,97,106,111,115,111,115,0,0,0,0,0,0,0,0,0,0
fotógrafas,1,10,102,111,116,243,103,114,97,102,97,115,0,0,0,0,0,0,0,0,0,0
degeneraré,1,10,100,101,103,101,110,101,114,97,114,233,0,0,0,0,0,0,0,0,0,0
desdoraréis,1,11,100,101,115,100,111,114,97,114,233,105,115,0,0,0,0,0,0,0,0,0
inundaran,1,9,105,110,117,110,100,97,114,97,110,0,0,0,0,0,0,0,0,0,0,0
moviera,1,7,109,111,118,105,101,114,97,0,0,0,0,0,0,0,0,0,0,0,0,0
contemplativos,1,14,99,111,110,116,101,109,112,108,97,116,105,118,111,115,0,0,0,0,0,0
excrementos,1,11,101,120,99,114,101,109,101,110,116,111,115,0,0,0,0,0,0,0,0,0
acolcha,1,7,97,99,111,108,99,104,97,0,0,0,0,0,0,0,0,0,0,0,0,0
antimilitarismo,1,15,97,110,116,105,109,105,108,105,116,97,114,105,115,109,111,0,0,0,0,0
atirantaste,1,11,97,116,105,114,97,110,116,97,115,116,101,0,0,0,0,0,0,0,0,0
patrullado,1,10,112,97,116,114,117,108,108,97,100,111,0,0,0,0,0,0,0,0,0,0
squash,1,6,115,113,117,97,115,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prefijad,1,8,112,114,101,102,105,106,97,100,0,0,0,0,0,0,0,0,0,0,0,0
torpemente,1,10,116,111,114,112,101,109,101,110,116,101,0,0,0,0,0,0,0,0,0,0
detales,1,7,100,101,116,97,108,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0
reverberemos,1,12,114,101,118,101,114,98,101,114,101,109,111,115,0,0,0,0,0,0,0,0
pelirrojamente,1,14,112,101,108,105,114,114,111,106,97,109,101,110,116,101,0,0,0,0,0,0
interrumpirás,1,13,105,110,116,101,114,114,117,109,112,105,114,225,115,0,0,0,0,0,0,0
emulen,1,6,101,109,117,108,101,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calderero,1,9,99,97,108,100,101,114,101,114,111,0,0,0,0,0,0,0,0,0,0,0
consignatarias,1,14,99,111,110,115,105,103,110,97,116,97,114,105,97,115,0,0,0,0,0,0
guadañes,1,8,103,117,97,100,97,241,101,115,0,0,0,0,0,0,0,0,0,0,0,0
ala,1,3,97,108,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladeaste,1,8,108,97,100,101,97,115,116,101,0,0,0,0,0,0,0,0,0,0,0,0
torrar,1,6,116,111,114,114,97,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mixturaré,1,9,109,105,120,116,117,114,97,114,233,0,0,0,0,0,0,0,0,0,0,0
catapultarais,1,13,99,97,116,97,112,117,108,116,97,114,97,105,115,0,0,0,0,0,0,0
abrigos,1,7,97,98,114,105,103,111,115,0,0,0,0,0,0,0,0,0,0,0,0,0
gestionó,1,8,103,101,115,116,105,111,110,243,0,0,0,0,0,0,0,0,0,0,0,0
subyacíais,1,10,115,117,98,121,97,99,237,97,105,115,0,0,0,0,0,0,0,0,0,0
epidémicos,1,10,101,112,105,100,233,109,105,99,111,115,0,0,0,0,0,0,0,0,0,0
reactivaría,1,11,114,101,97,99,116,105,118,97,114,237,97,0,0,0,0,0,0,0,0,0
publicáramos,1,12,112,117,98,108,105,99,225,114,97,109,111,115,0,0,0,0,0,0,0,0
superfinos,1,10,115,117,112,101,114,102,105,110,111,115,0,0,0,0,0,0,0,0,0,0
idead,1,5,105,100,101,97,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salabas,1,7,115,97,108,97,98,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
desempedraríais,1,15,100,101,115,101,109,112,101,100,114,97,114,237,97,105,115,0,0,0,0,0
insinuasteis,1,12,105,110,115,105,110,117,97,115,116,101,105,115,0,0,0,0,0,0,0,0
desconozcas,1,11,100,101,115,99,111,110,111,122,99,97,115,0,0,0,0,0,0,0,0,0
penetraran,1,10,112,101,110,101,116,114,97,114,97,110,0,0,0,0,0,0,0,0,0,0
comadreas,1,9,99,111,109,97,100,114,101,97,115,0,0,0,0,0,0,0,0,0,0,0
pusieron,1,8,112,117,115,105,101,114,111,110,0,0,0,0,0,0,0,0,0,0,0,0
engolosináis,1,12,101,110,103,111,108,111,115,105,110,225,105,115,0,0,0,0,0,0,0,0
lucubraste,1,10,108,117,99,117,98,114,97,115,116,101,0,0,0,0,0,0,0,0,0,0
apesadumbrad,1,12,97,112,101,115,97,100,117,109,98,114,97,100,0,0,0,0,0,0,0,0
exiliadas,1,9,101,120,105,108,105,97,100,97,115,0,0,0,0,0,0,0,0,0,0,0
encordeléis,1,11,101,110,99,111,114,100,101,108,233,105,115,0,0,0,0,0,0,0,0,0
tapiarás,1,8,116,97,112,105,97,114,225,115,0,0,0,0,0,0,0,0,0,0,0,0
perduraré,1,9,112,101,114,100,117,114,97,114,233,0,0,0,0,0,0,0,0,0,0,0
restregáramos,1,13,114,101,115,116,114,101,103,225,114,97,109,111,115,0,0,0,0,0,0,0
descascaran,1,11,100,101,115,99,97,115,99,97,114,97,110,0,0,0,0,0,0,0,0,0
incomunicaríamos,1,16,105,110,99,111,109,117,110,105,99,97,114,237,97,109,111,115,0,0,0,0
organdí,1,7,111,114,103,97,110,100,237,0,0,0,0,0,0,0,0,0,0,0,0,0
antiálgico,1,10,97,110,116,105,225,108,103,105,99,111,0,0,0,0,0,0,0,0,0,0
subversivamente,1,15,115,117,98,118,101,114,115,105,118,97,109,101,110,116,101,0,0,0,0,0
ajusto,1,6,97,106,117,115,116,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cobraras,1,8,99,111,98,114,97,114,97,115,0,0,0,0,0,0,0,0,0,0,0,0
prevaricaba,1,11,112,114,101,118,97,114,105,99,97,98,97,0,0,0,0,0,0,0,0,0
referenciaran,1,13,114,101,102,101,114,101,110,99,105,97,114,97,110,0,0,0,0,0,0,0
valentón,1,8,118,97,108,101,110,116,243,110,0,0,0,0,0,0,0,0,0,0,0,0
corvo,1,5,99,111,114,118,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trashumes,1,9,116,114,97,115,104,117,109,101,115,0,0,0,0,0,0,0,0,0,0,0
enjuagaras,1,10,101,110,106,117,97,103,97,114,97,115,0,0,0,0,0,0,0,0,0,0
tamborileábamos,1,15,116,97,109,98,111,114,105,108,101,225,98,97,109,111,115,0,0,0,0,0
reembalarais,1,12,114,101,101,109,98,97,108,97,114,97,105,115,0,0,0,0,0,0,0,0
besuquearan,1,11,98,101,115,117,113,117,101,97,114,97,110,0,0,0,0,0,0,0,0,0
vedaba,1,6,118,101,100,97,98,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuestionara,1,11,99,117,101,115,116,105,111,110,97,114,97,0,0,0,0,0,0,0,0,0
musitabas,1,9,109,117,115,105,116,97,98,97,115,0,0,0,0,0,0,0,0,0,0,0
competencias,1,12,99,111,109,112,101,116,101,110,99,105,97,115,0,0,0,0,0,0,0,0
disciplinó,1,10,100,105,115,99,105,112,108,105,110,243,0,0,0,0,0,0,0,0,0,0
desgastad,1,9,100,101,115,103,97,115,116,97,100,0,0,0,0,0,0,0,0,0,0,0
honren,1,6,104,111,110,114,101,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adelgazaran,1,11,97,100,101,108,103,97,122,97,114,97,110,0,0,0,0,0,0,0,0,0
carcajes,1,8,99,97,114,99,97,106,101,115,0,0,0,0,0,0,0,0,0,0,0,0
emblanquecerías,1,15,101,109,98,108,97,110,113,117,101,99,101,114,237,97,115,0,0,0,0,0
celdas,1,6,99,101,108,100,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entrañad,1,8,101,110,116,114,97,241,97,100,0,0,0,0,0,0,0,0,0,0,0,0
achuches,1,8,97,99,104,117,99,104,101,115,0,0,0,0,0,0,0,0,0,0,0,0
preselectivas,1,13,112,114,101,115,101,108,101,99,116,105,118,97,115,0,0,0,0,0,0,0
engomad,1,7,101,110,103,111,109,97,100,0,0,0,0,0,0,0,0,0,0,0,0,0
alfeñicaría,1,11,97,108,102,101,241,105,99,97,114,237,97,0,0,0,0,0,0,0,0,0
diodo,1,5,100,105,111,100,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
odiseas,1,7,111,100,105,115,101,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
mezclaba,1,8,109,101,122,99,108,97,98,97,0,0,0,0,0,0,0,0,0,0,0,0
voltereta,1,9,118,111,108,116,101,114,101,116,97,0,0,0,0,0,0,0,0,0,0,0
balbuceaba,1,10,98,97,108,98,117,99,101,97,98,97,0,0,0,0,0,0,0,0,0,0
aeronaval,1,9,97,101,114,111,110,97,118,97,108,0,0,0,0,0,0,0,0,0,0,0
polvorean,1,9,112,111,108,118,111,114,101,97,110,0,0,0,0,0,0,0,0,0,0,0
exudas,1,6,101,120,117,100,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solazo,1,6,115,111,108,97,122,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oligárquicos,1,12,111,108,105,103,225,114,113,117,105,99,111,115,0,0,0,0,0,0,0,0
atengan,1,7,97,116,101,110,103,97,110,0,0,0,0,0,0,0,0,0,0,0,0,0
cuajará,1,7,99,117,97,106,97,114,225,0,0,0,0,0,0,0,0,0,0,0,0,0
escaparates,1,11,101,115,99,97,112,97,114,97,116,101,115,0,0,0,0,0,0,0,0,0
tensaríais,1,10,116,101,110,115,97,114,237,97,105,115,0,0,0,0,0,0,0,0,0,0
adscribir,1,9,97,100,115,99,114,105,98,105,114,0,0,0,0,0,0,0,0,0,0,0
conferenciaban,1,14,99,111,110,102,101,114,101,110,99,105,97,98,97,110,0,0,0,0,0,0
creyeron,1,8,99,114,101,121,101,114,111,110,0,0,0,0,0,0,0,0,0,0,0,0
anteponga,1,9,97,110,116,101,112,111,110,103,97,0,0,0,0,0,0,0,0,0,0,0
imperiosamente,1,14,105,109,112,101,114,105,111,115,97,109,101,110,116,101,0,0,0,0,0,0
desactivemos,1,12,100,101,115,97,99,116,105,118,101,109,111,115,0,0,0,0,0,0,0,0
tiple,1,5,116,105,112,108,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
espaciáis,1,9,101,115,112,97,99,105,225,105,115,0,0,0,0,0,0,0,0,0,0,0
refinanciarían,1,14,114,101,102,105,110,97,110,99,105,97,114,237,97,110,0,0,0,0,0,0
tecleado,1,8,116,101,99,108,101,97,100,111,0,0,0,0,0,0,0,0,0,0,0,0
intercambian,1,12,105,110,116,101,114,99,97,109,98,105,97,110,0,0,0,0,0,0,0,0
deslices,1,8,100,101,115,108,105,99,101,115,0,0,0,0,0,0,0,0,0,0,0,0
acertemos,1,9,97,99,101,114,116,101,109,111,115,0,0,0,0,0,0,0,0,0,0,0
oscilad,1,7,111,115,99,105,108,97,100,0,0,0,0,0,0,0,0,0,0,0,0,0
revaluarías,1,11,114,101,118,97,108,117,97,114,237,97,115,0,0,0,0,0,0,0,0,0
fundarán,1,8,102,117,110,100,97,114,225,110,0,0,0,0,0,0,0,0,0,0,0,0
alcahuetearía,1,13,97,108,99,97,104,117,101,116,101,97,114,237,97,0,0,0,0,0,0,0
megatón,1,7,109,101,103,97,116,243,110,0,0,0,0,0,0,0,0,0,0,0,0,0
abellacada,1,10,97,98,101,108,108,97,99,97,100,97,0,0,0,0,0,0,0,0,0,0
valsas,1,6,118,97,108,115,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estuprabais,1,11,101,115,116,117,112,114,97,98,97,105,115,0,0,0,0,0,0,0,0,0
centigramos,1,11,99,101,110,116,105,103,114,97,109,111,115,0,0,0,0,0,0,0,0,0
prudencio,1,9,112,114,117,100,101,110,99,105,111,0,0,0,0,0,0,0,0,0,0,0
comediré,1,8,99,111,109,101,100,105,114,233,0,0,0,0,0,0,0,0,0,0,0,0
estiman,1,7,101,115,116,105,109,97,110,0,0,0,0,0,0,0,0,0,0,0,0,0
ensordecerá,1,11,101,110,115,111,114,100,101,99,101,114,225,0,0,0,0,0,0,0,0,0
encarnizaras,1,12,101,110,99,97,114,110,105,122,97,114,97,115,0,0,0,0,0,0,0,0
interrogues,1,11,105,110,116,101,114,114,111,103,117,101,115,0,0,0,0,0,0,0,0,0
reinsertando,1,12,114,101,105,110,115,101,114,116,97,110,100,111,0,0,0,0,0,0,0,0
primorosos,1,10,112,114,105,109,111,114,111,115,111,115,0,0,0,0,0,0,0,0,0,0
jubilará,1,8,106,117,98,105,108,97,114,225,0,0,0,0,0,0,0,0,0,0,0,0
menoscabamos,1,12,109,101,110,111,115,99,97,98,97,109,111,115,0,0,0,0,0,0,0,0
interrogarán,1,12,105,110,116,101,114,114,111,103,97,114,225,110,0,0,0,0,0,0,0,0
amedrentaríais,1,14,97,109,101,100,114,101,110,116,97,114,237,97,105,115,0,0,0,0,0,0
colacionas,1,10,99,111,108,97,99,105,111,110,97,115,0,0,0,0,0,0,0,0,0,0
restriñan,1,9,114,101,115,116,114,105,241,97,110,0,0,0,0,0,0,0,0,0,0,0
caucionaron,1,11,99,97,117,99,105,111,110,97,114,111,110,0,0,0,0,0,0,0,0,0
bailoteabais,1,12,98,97,105,108,111,116,101,97,98,97,105,115,0,0,0,0,0,0,0,0
traigas,1,7,116,114,97,105,103,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
auscultan,1,9,97,117,115,99,117,108,116,97,110,0,0,0,0,0,0,0,0,0,0,0
enjambre,1,8,101,110,106,97,109,98,114,101,0,0,0,0,0,0,0,0,0,0,0,0
sobresaltéis,1,12,115,111,98,114,101,115,97,108,116,233,105,115,0,0,0,0,0,0,0,0
absidiolos,1,10,97,98,115,105,100,105,111,108,111,115,0,0,0,0,0,0,0,0,0,0
indicios,1,8,105,110,100,105,99,105,111,115,0,0,0,0,0,0,0,0,0,0,0,0
trincho,1,7,116,114,105,110,99,104,111,0,0,0,0,0,0,0,0,0,0,0,0,0
sitiasteis,1,10,115,105,116,105,97,115,116,101,105,115,0,0,0,0,0,0,0,0,0,0
gregales,1,8,103,114,101,103,97,108,101,115,0,0,0,0,0,0,0,0,0,0,0,0
cabidas,1,7,99,97,98,105,100,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
almohazaríamos,1,14,97,108,109,111,104,97,122,97,114,237,97,109,111,115,0,0,0,0,0,0
martirizaríais,1,14,109,97,114,116,105,114,105,122,97,114,237,97,105,115,0,0,0,0,0,0
descoloquemos,1,13,100,101,115,99,111,108,111,113,117,101,109,111,115,0,0,0,0,0,0,0
exceptuado,1,10,101,120,99,101,112,116,117,97,100,111,0,0,0,0,0,0,0,0,0,0
súmete,1,6,115,250,109,101,116,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carburaciones,1,13,99,97,114,98,117,114,97,99,105,111,110,101,115,0,0,0,0,0,0,0
calientapieses,1,14,99,97,108,105,101,110,116,97,112,105,101,115,101,115,0,0,0,0,0,0
estancaremos,1,12,101,115,116,97,110,99,97,114,101,109,111,115,0,0,0,0,0,0,0,0
dípteros,1,8,100,237,112,116,101,114,111,115,0,0,0,0,0,0,0,0,0,0,0,0
